Name
"ACHARYA NG RANGA AGRICULTURAL UNIVERSITY, GUNTUR - [ANGRAU]"
"ANBIL DHARMALINGAM AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE, THIRUCHIRAPALLI - [ADAC&RI]"
"BANASTHALI VIDYAPITH, JAIPUR"
"BIRSA AGRICULTURAL UNIVERSITY, RANCHI - [BAU]"
"CENTRAL INSTITUTE OF AGRICULTURAL ENGINEERING- [CIAE], BHOPAL"
"CENTRAL INSTITUTE OF FISHERIES EDUCATION, MUMBAI - [CIFE]"
"COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY, KOCHI - [CUSAT]"
"COLLEGE OF VETERINARY AND ANIMAL SCIENCES, BIKANER - [CVAS]"
"COLLEGE OF VETERINARY AND ANIMAL SCIENCES, UDAIPUR - [RAJUVAS]"
"DR DY PATIL COLLEGE OF AGRICULTURE BUSINESS MANAGEMENT, PUNE"
"DR. RAJENDRA PRASAD CENTRAL AGRICULTURAL UNIVERSITY, SAMASTIPUR"
"GOVIND BALLABH PANT UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, PANTNAGAR"
"INDIAN AGRICULTURAL RESEARCH INSTITUTE, NEW DELHI - [IARI]"
"INDIAN AGRICULTURAL STATISTICS RESEARCH INSTITUTE, NEW DELHI - [IASRI]"
"INDIAN VETERINARY RESEARCH INSTITUTE, BAREILLY - [IVRI]"
"INDIRA GANDHI KRISHI VISHWAVIDYALAYA, RAIPUR - [IGKV]"
"JAMIA MILLIA ISLAMIA UNIVERSITY-[JMI], NEW DELHI"
"JAWAHARLAL NEHRU KRISHI VISHWA VIDYALAYA, JABALPUR - [JNKVV]"
"JUNAGADH AGRICULTURAL UNIVERSITY, JUNAGADH"
"KHALSA COLLEGE, AMRITSAR"
"MAHATMA JYOTI RAO PHOOLE UNIVERSITY, JAIPUR - [MJRPU]"
"MAHATMA PHULE KRISHI VIDYAPEETH, PUNE - [MPKV]"
"NATIONAL BUREAU OF FISH GENETIC RESOURCES, LUCKNOW - [NBFGR]"
"NATIONAL DAIRY RESEARCH INSTITUTE, KARNAL - [NDRI]"
"PUNJAB AGRICULTURAL UNIVERSITY, LUDHIANA - [PAU]"
"SAM HIGGINBOTTOM UNIVERSITY OF AGRICULTURE TECHNOLOGY AND SCIENCES, ALLAHABAD - [SHUATS]"
"TAMIL NADU AGRICULTURAL UNIVERSITY, COIMBATORE - [TNAU]"
"UNIVERSITY OF CALCUTTA, KOLKATA"
"UNIVERSITY OF MUMBAI, MUMBAI"
"VETERINARY COLLEGE AND RESEARCH INSTITUTE, NAMAKKAL - [VCRI]"
"ALIGARH MUSLIM UNIVERSITY, ALIGARH - [AMU]"
"ANAND AGRICULTURAL UNIVERSITY, ANAND - [AAU]"
"BANARAS HINDU UNIVERSITY, VARANASI - [BHU]"
"BIHAR AGRICULTURAL UNIVERSITY, BHAGALPUR - [BAU] SABOUR"
"BUNDELKHAND UNIVERSITY, JHANSI"
"CHANDRA SHEKHAR AZAD UNIVERSITY OF AGRICULTURE AND TECHNOLOGY -[CSAUA&T], KANPUR"
"CHAUDHARY SARWAN KUMAR HIMACHAL PRADESH KRISHI VISHVAVIDYALAYA, PALAMPUR - [CSK HPKV]"
"EASTERN INSTITUTE FOR INTEGRATED LEARNING IN MANAGEMENT, WEST SIKKIM - [EIILM UNIVERSITY]"
"KARNATAKA VETERINARY ANIMAL AND FISHERIES SCIENCES UNIVERSITY, BIDAR"
"KERALA VETERINARY AND ANIMAL SCIENCES UNIVERSITY, WAYANAD - [KVASU] POOKODE"
"MAHARASHTRA ANIMAL AND FISHERY SCIENCES UNIVERSITY, NAGPUR - [MAFSU]"
"NATIONAL RESEARCH CENTRE ON MITHUN, DIMAPUR - [NRCM]"
"OPJS UNIVERSITY, CHURU"
"ORISSA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, BHUBANESWAR - [OUAT]"
"SARDAR VALLABH BHAI PATEL UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, MEERUT"
"SARDARKRUSHINAGAR DANTIWADA AGRICULTURAL UNIVERSITY, PALANPUR - [SDAU]"
"SHER-E-KASHMIR UNIVERSITY OF AGRICULTURAL SCIENCES AND TECHNOLOGY OF KASHMIR, SRINAGAR - [SKUAST]"
"SINGHANIA UNIVERSITY, JHUNJHUNU"
"SRI VENKATESWARA VETERINARY UNIVERSITY, TIRUPATI - [SVVU]"
"TAMIL NADU VETERINARY AND ANIMAL SCIENCES UNIVERSITY, CHENNAI - [TANUVAS]"
"UDAI PRATAP COLLEGE, VARANASI"
"WEST BENGAL UNIVERSITY OF ANIMAL AND FISHERY SCIENCES, KOLKATA"
"ACHARYA NARENDRA DEV COLLEGE, NEW DELHI - [ANDC]"
"BETHUNE COLLEGE, KOLKATA"
"CHRIST UNIVERSITY, BANGALORE"
"ELPHINSTONE COLLEGE, MUMBAI"
"ETHIRAJ COLLEGE FOR WOMEN, CHENNAI"
"FERGUSSON COLLEGE, PUNE"
"GARGI COLLEGE, NEW DELHI"
"HANS RAJ COLLEGE, NEW DELHI - [HRC]"
"HINDU COLLEGE, NEW DELHI"
"JADAVPUR UNIVERSITY, KOLKATA"
"LOYOLA COLLEGE, CHENNAI"
"MADRAS CHRISTIAN COLLEGE, CHENNAI - [MCC]"
"MEHR CHAND MAHAJAN DAYANAND ANGLO VEDIC COLLEGE FOR WOMEN, CHANDIGARH - [MCM DAV]"
"MIRANDA HOUSE, NEW DELHI"
"MOUNT CARMEL COLLEGE, BANGALORE - [MCC]"
"NIZAM COLLEGE, HYDERABAD"
"OSMANIA UNIVERSITY COLLEGE FOR WOMEN, HYDERABAD - [UCW]"
"PARUL UNIVERSITY, VADODARA"
"PRESIDENCY COLLEGE, CHENNAI"
"RAMAKRISHNA MISSION VIVEKANANDA COLLEGE, CHENNAI"
"RAMJAS COLLEGE, NEW DELHI"
"RAMNARAIN RUIA AUTONOMOUS COLLEGE, MUMBAI"
"SCOTTISH CHURCH COLLEGE, KOLKATA"
"SRI VENKATESWARA COLLEGE, NEW DELHI"
"ST FRANCIS COLLEGE FOR WOMEN, HYDERABAD"
"ST JOSEPH'S COLLEGE DEVAGIRI, CALICUT"
"ST XAVIER'S COLLEGE, AHMEDABAD"
"ST. XAVIER'S COLLEGE, MUMBAI"
"ST. XAVIER'S COLLEGE, KOLKATA - [SXC]"
"STELLA MARIS COLLEGE, CHENNAI"
"THE OXFORD COLLEGE OF SCIENCE, BANGALORE - [TOCS]"
"AL- AMEEN COLLEGE OF PHARMACY, BANGALORE"
"AMITY UNIVERSITY, NOIDA"
"ANDHRA UNIVERSITY, COLLEGE OF PHARMACEUTICAL SCIENCES"
"BIRLA INSTITUTE OF TECHNOLOGY, RANCHI - [BIT MESRA]"
"BOMBAY COLLEGE OF PHARMACY, MUMBAI - [BCP]"
"DELHI INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH, NEW DELHI - [DIPSAR]"
"DEVI AHILYA VISHWAVIDYALAYA, INDORE"
"GOA COLLEGE OF PHARMACY, PANJI"
"GOVERNMENT COLLEGE OF PHARMACY, BANGALORE"
"INDIAN INSTITUTE OF TECHNOLOGY, VARANASI - [IIT BHU]"
"INSTITUTE OF CHEMICAL TECHNOLOGY, MUMBAI - [ICT]"
"JAMIA HAMDARD UNIVERSITY, NEW DELHI"
"JSS COLLEGE OF PHARMACY, OOTY"
"KLE COLLEGE OF PHARMACY, HUBLI"
"LM COLLEGE OF PHARMACY, AHMEDABAD - [LMCP]"
"MADRAS MEDICAL COLLEGE, CHENNAI - [MMC]"
"MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA, VADODARA - [MSU]"
"MAHARSHI DAYANAND UNIVERSITY, ROHTAK - [MDU]"
"MANIPAL COLLEGE OF PHARMACEUTICAL SCIENCES, MANIPAL - [MCOPS]"
"NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, MOHALI - [NIPER]"
"NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, HYDERABAD - [NIPER]"
"NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, KOLKATA - [NIPER]"
"NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, GUWAHATI - [NIPER]"
"POONA COLLEGE OF PHARMACY, PUNE"
"PSG COLLEGE OF PHARMACY, COIMBATORE - [PSGCP]"
"SHOBHABEN PRATAPBHAI PATEL SCHOOL OF PHARMACY & TECHNOLOGY MANAGEMENT, MUMBAI - [SPPSPTM]"
"SINHGAD INSTITUTE OF PHARMACY, PUNE - [SIOP] NARHE"
"SRI RAMACHANDRA INSTITUTE OF HIGHER EDUCATION AND RESEARCH, CHENNAI"
"UNIVERSITY INSTITUTE OF PHARMACEUTICAL SCIENCES, CHANDIGARH"
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, NEW DELHI - [AIIMS]"
"ANNAMALAI UNIVERSITY, CHIDAMBARAM"
"ARMED FORCES MEDICAL COLLEGE, PUNE - [AFMC]"
"BHARATI VIDYAPEETH DEEMED UNIVERSITY, PUNE - [BVDU]"
"BYRAMJEE JEEJEEBHOY GOVERNMENT MEDICAL COLLEGE, PUNE - [BJMC]"
"CHRISTIAN MEDICAL COLLEGE, VELLORE - [CMC]"
"CHRISTIAN MEDICAL COLLEGE, LUDHIANA - [CMC]"
"GOVERNMENT MEDICAL COLLEGE, AMRITSAR - [GMC]"
"GRANT MEDICAL COLLEGE, MUMBAI - [GMC]"
"GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY, NEW DELHI - [GGSIPU]"
"INSTITUTE OF MEDICAL SCIENCES, VARANASI - [IMS]"
"INSTITUTE OF POST GRADUATE MEDICAL EDUCATION AND RESEARCH, KOLKATA - [IPGMER]"
"JAWAHARLAL INSTITUTE OF POST GRADUATE MEDICAL EDUCATION AND RESEARCH, PONDICHERRY - [JIPMER]"
"JKK NATRAJAH DENTAL COLLEGE & HOSPITAL, GANDARVAKOTTAI"
"KASTURBA MEDICAL COLLEGE, MANGALORE - [KMC]"
"KING GEORGE'S MEDICAL UNIVERSITY, LUCKNOW - [KGMU]"
"LADY HARDINGE MEDICAL COLLEGE, NEW DELHI - [LHMC]"
"LOKMANYA TILAK MUNICIPAL MEDICAL COLLEGE-[LTMMC], MUMBAI"
"MAHATMA GANDHI INSTITUTE OF MEDICAL SCIENCES, WARDHA - [MGIMS]"
"MAULANA AZAD MEDICAL COLLEGE, NEW DELHI - [MAMC]"
"NOIDA INTERNATIONAL UNIVERSITY, GREATER NOIDA - [NIU]"
"OSMANIA MEDICAL COLLEGE, HYDERABAD - [OMC]"
"SETH GS MEDICAL COLLEGE, MUMBAI - [GSMC]"
"UNIVERSITY OF HYDERABAD, HYDERABAD - [UOH]"
"B. J. MEDICAL COLLEGE, AHMEDABAD - [BJMC]"
"BANGALORE MEDICAL COLLEGE AND RESEARCH INSTITUTE, BANGALORE - [BMCRI]"
"GOVERNMENT MEDICAL COLLEGE, SURAT"
"GOVERNMENT MEDICAL COLLEGE, THIRUVANANTHAPURAM"
"GOVERNMENT MEDICAL COLLEGE, KOZHIKODE"
"GOVERNMENT MEDICAL COLLEGE, NAGPUR - [GMC]"
"GOVERNMENT MEDICAL COLLEGE / RAJINDRA HOSPITAL-[GMCP], PATIALA"
"JAWAHARLAL NEHRU MEDICAL COLLEGE, AJMER - [JLN]"
"SMS MEDICAL COLLEGE, JAIPUR - [SMSMC]"
"STANLEY MEDICAL COLLEGE, CHENNAI"
"AMITY SCHOOL OF COMMUNICATION, NOIDA - [ASCO]"
"APEEJAY INSTITUTE OF MASS COMMUNICATION, NEW DELHI - [AIMC]"
"ASIAN COLLEGE OF JOURNALISM, CHENNAI - [ACJ]"
"CHANDIGARH UNIVERSITY, CHANDIGARH - [CU]"
"CHITKARA UNIVERSITY, PATIALA - [CU] RAJPURA"
"DELHI COLLEGE OF ARTS AND COMMERCE, NEW DELHI - [DCAC]"
"DR. C.V. RAMAN UNIVERSITY, BILASPUR - [CVRU]"
"FILM AND TELEVISION INSTITUTE OF INDIA, PUNE - [FTII]"
"INDIAN INSTITUTE OF JOURNALISM AND NEW MEDIA, BANGALORE - [IIJNM]"
"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI - [IIMC]"
