Participant,CL,Gender
MI-ARP-177,MI-ARY-117,
MI-AAK-166,MI-ARY-117,
MI-SAY-146,MI-ARY-117,
MI -ANU-376,MI-ARY-117,
MI-APO-152,MI-ARY-117,
MI-BHA-288,MI-ARY-117,
MI-BHU-153,MI-ARY-117,
MI-GAU-258,MI-ARY-117,
MI-ISH-280,MI-ARY-117,
MI-FIZ-104,MI-ARY-117,
MI-JYO-128,MI-ARY-117,
MI-MUS-227,MI-ARY-117,
MI-NAN-150,MI-ARY-117,
MI-NIH-132,MI-ARY-117,
MI-PRA-993,MI-ARY-117,
MI-YOG-157,MI-ARY-117,
MI-VAR-165,MI-ARY-117,
MI-VRI-112,MI-ARY-117,
MI-VIS-286,MI-ARY-117,
MI-ARJ-132,MI-ARY-117,
MI-AIS-190,MI-ARY-117,
MI-SEJ-133,MI-ARY-117,
MI-NIK-335,MI-ARY-117,
MI-OOR-104,MI-ARY-117,
MI-SAU-111,MI-SAM-110,
MI-NAM-105,MI-SAM-110,
MI-ISH-103,MI-SAM-110,
MI-GAN-101,MI-SAM-110,
MI-ADI-115,MI-SAM-110,
MI-CHI-107,MI-SAM-110,
MI-SHA-117,MI-SAM-110,
MI-OME-101,MI-SAM-110,
MI-GIR-101,MI-SAM-110,
MI-SHU-119,MI-SAM-110,
MI-AJI-143,MI-GUG-101,
MI-SAM-289,MI-LAK-138,
MI-JAS-104,MI-LAK-138,
MI-ARU-126,MI-RIS-107,
MI-ATI-105,MI-RIS-107,
MI-ASH-191,MI-RIS-107,
MI-ARV-108,MI-RIS-107,
MI-KES-104,MI-RIS-107,
MI-GUN-111,MI-RIS-107,
MI-MAN-439,MI-RIS-107,
MI-CHA-230,MI-RIS-107,
MI-CHA-230,MI-RIS-107,
MI-AJI-143,MI-GUG-101,
MI-RAI-103,MI-GUG-101,
MI-DEV-195,MI-GUG-101,
MI-PUS-115,MI-GUG-101,
MI-SHI-368,MI-GUG-101,
MI-ABH-360,MI-GUG-101,
MI-AYU-265,MI-GUG-101,
MI-YAS-368,MI-GUG-101,
MI-KUN-160,MI-GUG-101,
MI-SID-223,MI-GUG-101,
MI-PRA-299,MI-VAR-122,
MI-KHU-118,MI-VAR-122,
MI-ATT-101,MI-VAR-122,
RAK-106,MI-VAR-122,
MI-#10-101,MI-VAR-122,
MI-TUS-175,MI-VAR-122,
