MI Number,Male,Female
MI-DEV-205,53,47
MI-SAM-249,2,0
MI-NAV-126,2,9
MI-SAN-134,5,4
MI-KES-103,1,0
MI-HAR-390,9,2
MI-SRU-104,2,5
MI-SOM-128,2,2
MI-AAK-171,0,2
MI-ISH-292,0,0
MI-JAY-295,1,1
MI-VAI-296,0,2
MI-SUP-101,13,10
MI-SAK-227,3,2
MI-ABH-422,1,0
MI-KAI-107,1,2
MI-ADI-201,4,0
MI-TEJ-131,1,0
MI-PRA-662,0,0
MI-AMA-106,12,6
MI-ANI-173,13,8
MI-FEM-101,0,2
MI-NIR-104,5,3
MI-NIS-124,2,2
MI-PAN-159,0,2
MI-MUL-102,4,0
MI-ANK-252,2,0
MI-SOU-176,28,22
MI-NIK-218,2,0
MI-PRA-129,24,18
MI-PAR-248,2,0
MI-ADV-104,2,0
MI-AMR-140,1,0
MI-SHR-386,20,14
MI-ROS-104,1,0
MI-VAR-122,8,4
MI-VAI-313,2,0
MI-SWA-187,0,22
MI-MIL-133,7,6
MI-RID-142,0,0
MI-HAR-358,3,3
MI-SHR-378,13,4
MI-SAK-101,28,10
MI-AAK-159,15,7
MI-ESH-115,2,0
MI-ADI-415,5,5
MI-MEE-132,2,0
MI-SHA-213,3,3
MI-HAR-135,12,2
MI-VAI-253,10,5
MI-ANK-306,2,0
MI-DEE-137,9,5
MI-SHR-413,18,4
MI-RAH-153,15,3
MI-AKA-125,1,3
MI-AKH-126,7,6
MI-ANK-104,28,17
MI-RUP-113,3,2
MI-SRI-129,0,1
MI-DHA-136,1,0
MI-RIT-231,3,2
MI-MRI-117,0,1
MI-KOM-132,2,4
MI-DIS-122,3,3
MI-NAM-155,0,0
MI-SHU-318,3,0
MI-SAY-147,0,2
MI-JAY-284,0,1
MI-ADH-111,0,0
MI-ARI-108,3,3
MI-DHA-108,5,3
MI-PRA-141,19,5
MI-SHU-122,12,2
MI-HEM-104,9,3
MI-AMI-157,2,0
MI-CHI-103,20,22
MI-KAR-184,2,0
MI-KUN-136,7,0
MI-SAM-110,28,13
MI-GOP-106,13,4
