2018/08/22 16:20:31 [error] 13648#13648: *82 connect() failed (111: Connection refused) while connecting to upstream, client: 103.21.125.83, server: api2.moodi.org, request: "GET /user/create/ HTTP/1.1", upstream: "http://127.0.0.1:8000/user/create/", host: "api2.moodi.org"
2018/08/22 16:23:38 [error] 13901#13901: *7 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/22 16:23:45 [error] 13901#13901: *21 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:24:12 [error] 13901#13901: *23 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:24:12 [error] 13901#13901: *24 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:24:15 [error] 13901#13901: *26 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:28:18 [error] 13901#13901: *76 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:28:18 [error] 13901#13901: *80 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:28:28 [error] 13901#13901: *83 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/22 16:28:30 [error] 13901#13901: *84 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/23 02:20:56 [error] 13901#13901: *5471 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 02:21:04 [error] 13901#13901: *5483 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/23 02:21:04 [error] 13901#13901: *5481 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
2018/08/23 02:21:12 [error] 13901#13901: *5488 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 02:21:23 [error] 13901#13901: *5494 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 02:21:23 [error] 13901#13901: *5492 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 02:21:29 [error] 13901#13901: *5492 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/add/"
2018/08/23 02:21:29 [error] 13901#13901: *5502 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/add/"
2018/08/23 02:21:49 [error] 13901#13901: *5513 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/add/?_to_field=id&_popup=1"
2018/08/23 11:33:21 [error] 13901#13901: *7335 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 11:33:44 [error] 13901#13901: *7353 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsgenre/"
